Day;Seconds;Sensor 0;Sensor 1;Sensor2
7;81335;28.76;28.66;0
7;81360;28.76;28.66;28.57
7;81385;28.76;28.66;28.57
7;81410;28.85;28.66;28.66
7;81436;28.85;28.66;28.66
7;3485;22.95;22.41;23.68
7;3510;22.86;22.41;23.68
7;3535;22.86;22.41;23.68
7;3560;22.77;22.5;23.77
7;3586;22.77;22.59;23.77
7;3611;22.68;22.68;23.77
7;3636;22.68;22.68;23.86
7;3917;22.41;22.86;0
7;3942;22.32;22.95;23.86
7;3968;22.32;22.95;23.86
7;3993;22.32;22.95;23.86
7;4018;22.32;22.95;23.86
7;4043;22.32;22.95;23.86
7;4068;22.23;22.95;23.86
7;4094;22.23;22.95;23.86
7;4119;22.23;22.86;23.86
7;4144;22.23;22.95;23.86
7;4169;22.14;22.95;23.86
7;4194;22.14;22.95;23.86
7;4219;22.14;22.95;23.86
7;4244;22.14;22.95;23.86
7;4269;22.14;22.86;23.86
7;4295;22.14;22.95;23.86
7;4320;22.14;22.95;23.86
7;4345;22.05;22.95;23.86
7;4370;22.14;22.95;23.86
7;4395;22.05;22.95;23.86
7;4420;22.05;22.95;23.86
7;4445;22.05;22.95;23.86
7;4470;22.05;22.95;23.86
7;4496;22.05;22.95;23.86
7;4521;22.05;22.95;23.86
7;4546;21.96;22.95;23.86
7;4571;22.05;22.86;23.86
7;4596;22.05;22.95;23.86
7;4621;22.05;22.95;23.86
7;4646;22.05;22.95;23.86
7;4671;22.05;22.95;23.86
7;4697;22.05;22.95;23.86
7;4721;22.05;22.95;23.86
7;4747;22.05;22.95;23.86
7;4772;21.96;22.95;23.86
7;4797;21.96;22.95;23.86
7;4822;21.96;22.95;23.86
7;4847;21.96;22.95;23.86
7;4872;21.96;22.95;23.86
7;4897;21.96;22.95;23.86
7;4922;21.96;22.95;23.86
7;4947;21.87;22.95;23.86
7;4973;21.87;22.95;23.86
7;4998;21.87;22.95;23.86
7;5023;21.87;22.95;23.86
7;5048;21.87;22.95;23.86
7;5073;21.87;22.95;23.86
7;5098;21.87;22.95;23.86
7;5124;21.78;22.95;23.86
7;5149;21.87;22.95;23.86
7;5174;21.87;23.05;23.86
7;5199;21.87;22.95;23.86
7;5224;21.78;22.95;23.77
7;5250;21.78;23.05;23.77
7;5275;21.78;23.05;23.77
7;5300;21.78;22.95;23.77
7;5325;21.78;22.95;23.77
7;5350;21.78;22.95;23.77
7;5375;21.78;22.95;23.77
7;5400;21.78;22.95;23.77
7;5425;21.78;22.95;23.77
7;5450;21.78;22.95;23.77
7;5476;21.78;23.05;23.77
7;5501;21.69;22.95;23.77
7;5526;21.78;22.95;23.77
7;5551;21.69;22.95;23.77
7;5576;21.69;22.95;23.77
7;5601;21.69;22.95;23.77
7;5627;21.69;22.95;23.77
7;5652;21.69;22.95;23.77
7;5677;21.6;22.95;23.68
7;5702;21.69;22.95;23.68
7;5727;21.6;22.95;23.68
7;5753;21.6;22.95;23.68
7;5778;21.6;22.95;23.68
7;5803;21.6;22.95;23.68
7;5828;21.6;22.95;23.68
7;5853;21.6;22.95;23.68
7;5878;21.6;22.95;23.68
7;5903;21.51;22.86;23.68
7;5928;21.6;22.86;23.68
7;5953;21.6;22.95;23.68
7;5979;21.6;22.95;23.68
7;6004;21.6;22.95;23.68
7;6029;21.6;22.95;23.68
7;6054;21.6;22.95;23.68
7;6079;21.6;22.95;23.68
7;6105;21.6;22.95;23.68
7;6130;21.51;22.95;23.68
7;6155;21.6;22.86;23.68
7;6180;21.51;22.86;23.68
7;6205;21.51;22.95;23.59
7;6231;21.51;22.95;23.59
7;6256;21.51;22.95;23.59
7;6281;21.51;22.95;23.59
7;6306;21.51;22.95;23.59
7;6331;21.51;22.95;23.59
7;6356;21.51;22.86;23.59
7;6382;21.51;22.86;23.59
7;6407;21.51;22.95;23.59
7;6432;21.51;22.95;23.59
7;6457;21.51;22.95;23.59
7;6482;21.51;22.95;23.59
7;6508;21.51;22.95;23.59
7;6533;21.51;22.95;23.59
7;11443;21.06;22.68;0
7;11468;21.06;22.68;23.05
7;11493;21.06;22.68;23.14
7;11518;21.06;22.68;23.14
7;11543;21.06;22.77;23.14
7;11587;21.06;22.68;23.14
7;11646;21.06;22.68;23.14
7;11688;21.06;22.68;23.14
7;11747;21.06;22.68;23.14
7;11789;21.06;22.68;23.05
7;11848;21.06;22.68;23.05
7;11890;21.06;22.59;23.05
7;11932;20.08;22.68;23.05
7;11958;20.17;22.59;23.05
7;11983;20.26;22.59;23.05
7;12008;20.35;22.59;23.05
7;12033;20.35;22.59;23.05
7;12058;20.44;22.59;23.05
7;12083;20.44;22.59;23.05
7;12109;20.44;22.59;23.05
7;12134;20.53;22.5;23.05
7;12159;20.53;22.5;23.05
7;12184;20.62;22.59;23.05
7;12209;20.62;22.59;23.05
7;12235;20.62;22.5;23.05
7;12260;20.71;22.5;23.05
7;12285;20.71;22.5;23.05
7;12310;20.71;22.5;23.05
7;12335;20.8;22.5;23.05
7;12360;20.8;22.5;23.05
7;12386;20.8;22.5;23.05
7;12411;20.8;22.5;22.95
7;12436;20.8;22.5;23.05
7;12461;20.8;22.5;22.95
7;12486;20.8;22.5;22.95
7;12512;20.8;22.41;22.95
7;12537;20.88;22.5;22.95
7;12562;20.88;22.5;22.95
7;12587;20.88;22.5;22.95
7;12612;20.88;22.5;22.95
7;12638;20.88;22.5;22.95
7;12663;20.88;22.5;22.95
7;12688;20.88;22.5;22.95
7;12713;20.88;22.5;22.95
7;12738;20.88;22.5;22.95
7;12763;20.88;22.5;22.95
7;12789;20.88;22.5;22.95
7;12813;20.88;22.5;22.95
7;12838;20.88;22.5;22.95
7;12864;20.88;22.5;22.95
7;12889;20.88;22.5;22.95
7;12914;20.88;22.5;22.95
7;12939;20.88;22.41;22.95
7;12964;20.88;22.5;22.95
7;12990;20.88;22.5;22.95
7;13015;20.88;22.5;22.95
7;13040;20.88;22.5;22.95
7;13065;20.88;22.5;22.95
7;13090;20.88;22.5;22.95
7;13115;20.88;22.5;22.95
7;13140;20.88;22.5;22.95
7;13165;20.88;22.41;22.95
7;13190;20.88;22.41;22.95
7;13216;20.88;22.41;22.95
7;13241;20.88;22.41;22.95
7;13266;20.88;22.41;22.95
7;13291;20.88;22.41;22.86
7;13316;20.88;22.41;22.86
7;13341;20.88;22.32;22.86
7;13366;20.88;22.41;22.86
7;13391;20.88;22.41;22.86
7;13417;20.88;22.41;22.86
7;13442;20.88;22.41;22.86
7;13467;20.88;22.41;22.86
7;13492;20.88;22.41;22.86
7;13517;20.88;22.41;22.86
7;13542;20.8;22.41;22.86
7;13568;20.88;22.41;22.86
7;13593;20.88;22.41;22.86
7;13618;20.88;22.41;22.86
7;13643;20.8;22.41;22.86
7;13668;20.88;22.41;22.86
7;13693;20.8;22.41;22.86
7;13718;20.88;22.41;22.86
7;13744;20.88;22.41;22.86
7;13769;20.88;22.41;22.86
7;13794;20.88;22.41;22.86
7;13819;20.8;22.41;22.77
7;13844;20.88;22.41;22.77
7;13869;20.88;22.41;22.86
7;13894;20.88;22.41;22.77
7;13919;20.88;22.41;22.86
7;13945;20.88;22.41;22.77
7;13970;20.88;22.41;22.77
7;13995;20.88;22.41;22.77
7;14020;20.8;22.41;22.77
7;14045;20.88;22.41;22.77
7;14070;20.88;22.32;22.77
7;14096;20.88;22.41;22.77
7;14121;20.88;22.41;22.77
